,body,embeddings,replier,start_date,thread_no,int_replier
0, On Thu Sep PM  Guido Günther write I confirm I remember time I source.chanegs alongside  arch.changes reason source change miss I pbuilder cowbuilder git buildpackage Do I need add specific option need Kind regard Andreas ,"[ 0.03452682 -0.04982984 -0.02575443 ... -0.02760165 -0.02004567
  0.00919815]",Carsten Schoenert,2017-10-01 17:37:47+02:00,4.0,11.0
1, Hi Andreas Am um  schrieb Andreas Tille Guido point time ago follow addition local setup ~.gbp.conf That trick create source.changes file You use command line add option(s Regards,"[ 0.03519882 -0.04719408 -0.02372056 ... -0.02784616 -0.0203593
  0.00857114]",Joerg Jaspert,2017-10-01 17:37:47+02:00,4.0,13.0
3, Hi PRON would like try LZ compress index file var lib apt list APT release series start October release Ubuntu artful This swap default AcquiregzipIndexes false true On system compress var lib apt list GB MB lot space There package break I start mass bug file Debian purpose I not equivalent codesearch.d.n Ubuntu I not search I hope package especially compress index come Ubuntu place The Debian bug ,"[ 0.03419991 -0.0478261  -0.02343686 ... -0.02696468 -0.02042063
  0.0082419 ]",Julian Andres Klode,2017-09-09 16:48:29+02:00,10.0,27.0
4, On Sat Sep PM  Julian Andres Klode write PRON will actually turn half week Oct st Oct rd I manage fix test test suite expect uncompressed one Debian Developer deb.lijak  jaklinux.org free software dev  Ubuntu Core Developer  When reply quote necessary write reply,"[ 0.03420499 -0.04997543 -0.02328048 ... -0.02815232 -0.02040299
  0.00753364]",Julian Andres Klode,2017-09-09 16:48:29+02:00,10.0,27.0
5, On Sat Sep PM  Julian Andres Klode write there have mistake test methodology I compare Contents file uncompressed Real value like vs MB Packages vs MB file Sources like save system apt file save system apt file install Debian Developer deb.lijak  jaklinux.org free software dev  Ubuntu Core Developer  When reply quote necessary write reply,"[ 0.03245414 -0.04770159 -0.02298835 ... -0.02714876 -0.01995586
  0.00781341]",Julian Andres Klode,2017-09-09 16:48:29+02:00,10.0,27.0
7, Package wnpp Owner Hilko Bengen   Severity wishlist Control block  Package node gulp Version Upstream Author Rob Richardson ,"[ 0.03298683 -0.04692332 -0.0247501  ... -0.02613176 -0.02060174
  0.01122376]",Hilko Bengen,2017-12-20 10:47:39+01:00,11.0,28.0
8, Package wnpp Owner Hilko Bengen   Severity wishlist Control block  Package node gulp match Version Upstream Author Rob Richardson ,"[ 0.03302832 -0.04640603 -0.02449457 ... -0.02579163 -0.02049156
  0.0116393 ]",Hilko Bengen,2017-12-20 10:47:39+01:00,11.0,28.0
9, Package wnpp Owner Hilko Bengen   Severity wishlist Control block  Package node ternary stream Version Upstream Author Rob Richardson ,"[ 0.03293944 -0.0480025  -0.02359665 ... -0.0257715  -0.02058099
  0.00897267]",Hilko Bengen,2017-12-20 10:47:39+01:00,11.0,28.0
11, On Tue Dec Ben Hutchings write The infrastructure tool good maintain huge numb list Alex,"[ 0.03859271 -0.05052555 -0.02398468 ... -0.02779067 -0.02067274
  0.00734398]",Alexander Wirt,2017-12-26 18:15:38+01:00,16.0,15.0
12, On Tue Dec Simon McVittie write We happy run list like debian boot discussion bug commit message But thing like bug commit message list So gtk decide list fit happy will not run example gkt commit gtk bug list,"[ 0.03717109 -0.04639256 -0.0238454  ... -0.02646556 -0.02045178
  0.00781497]",Anton Gladky,2017-12-26 18:15:38+01:00,16.0,39.0
13,  GMT Alexander Wirt    skip  That OK @lists.alioth.debian.org run plan disable Thanks,"[ 0.0358721  -0.04313317 -0.0226201  ... -0.02686038 -0.02118893
  0.01224343]",Andreas Tille,2017-12-26 18:15:38+01:00,16.0,10.0
15, On Tue Dec Anton Gladky write We not want maintainter list l.d.o,"[ 0.03626772 -0.04941119 -0.02072252 ... -0.02924612 -0.02101059
  0.00468004]",Ben Hutchings,2017-12-26 16:02:08+01:00,18.0,26.0
16, On Tue   Alexander Wirt write Why Ben Ben Hutchings The world come end Please log,"[ 0.03465601 -0.04988361 -0.02545393 ... -0.02840844 -0.02016129
  0.01082141]",Ole Streicher,2017-12-26 16:02:08+01:00,18.0,43.0
17, Mehdi Dogguy   write I fully agree It make page like ,"[ 0.03049531 -0.04710522 -0.02394022 ... -0.02382558 -0.02012284
  0.0078475 ]",Thibaut Paumard,2017-12-26 16:02:08+01:00,18.0,44.0
19, Package wnpp Severity wishlist Owner Fabian Greffrath   Package font comic neue Version Upstream Author Craig Rozynski URL ,"[ 0.03324122 -0.04626084 -0.02315455 ... -0.02479808 -0.02043119
  0.0086546 ]",Adam Borowski,2017-10-02 11:34:58+02:00,21.0,50.0
20, On Mon Oct AM  Fabian Greffrath write Yay I look package toolchain build source not available I not know PRON be try challenge claim package Here have bite WIP would want . etc font conf.availcomic sans.conf  xml version.   DOCTYPE fontconfig SYSTEM fonts.dtd   fontconfig   match   test namefamilystring  Comic Sans MSstringtest   edit namefamily modeassign bindingstrong   string  Comic Neuestring   edit   match   fontconfig   symlinked etc font conf.dcomic sans.conf This handle reason font install Your desc hostile Mine Description horrible remake Comic Sans This font attempt fix wrong issue world have revile typeface stay true general idea PRON be suppose actually use font thank fontconfig substitution have package install help survive weaponized use LibreSSL announcement html email aunt June  Ie remake text write offense punishable shoot install systemd machine dance grave have present make foreign text far palatable Meow       ⠀ We domesticate dog year ago chase   ⢰  ⠀   animal hang lick scratch private part       ⠀ Cats domesticate year ago immediately get,"[ 0.03403204 -0.04690861 -0.02282357 ... -0.02569436 -0.02042624
  0.00698755]",Fabian Greffrath,2017-10-02 11:34:58+02:00,21.0,49.0
21, Hi Adam Am Montag den   schrieb Adam Borowski I think PRON will change package font comicneue comic not foundry Yes upstream repo ,"[ 0.03269885 -0.04818986 -0.02467461 ... -0.0261472  -0.0197955
  0.00838143]",Fabian Greffrath,2017-10-02 11:34:58+02:00,21.0,49.0
